IDProduct,IDProductSubcategory,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
215,30,ANKL-BS,Ankle Sport Sock - Black - S,Ankle Sport Sock,Low-cut sport socks - 5-pack.,Black,S,M,6.79,13.09
216,30,ANKL-YL,Ankle Sport Sock - Yellow - L,Ankle Sport Sock,Low-cut sport socks - 5-pack.,Yellow,L,U,5.86,12.67
217,30,ANKL-GS,Ankle Sport Sock - Grey - S,Ankle Sport Sock,Low-cut sport socks - 5-pack.,Grey,S,M,6.21,13.3
218,30,COMP-WS,CompressionSock - White - S,CompressionSock,Graduated compression socks - pair.,White,S,W,10.59,19.79
219,30,COMP-WS-1,CompressionSock - White - S,CompressionSock,Graduated compression socks - pair.,White,S,U,9.22,19.21
220,30,COMP-OS,CompressionSock - Orange - S,CompressionSock,Graduated compression socks - pair.,Orange,S,M,9.96,19.42
221,31,RUNC-O0,RunCap Dry - Orange,RunCap Dry,Moisture-wicking running cap.,Orange,0,U,9.28,20.34
222,31,RUNC-B0,RunCap Dry - Blue,RunCap Dry,Moisture-wicking running cap.,Blue,0,W,11.1,20.25
223,31,RUNC-P0,RunCap Dry - Pink,RunCap Dry,Moisture-wicking running cap.,Pink,0,U,10.33,19.26
224,31,RUNC-W0,RunCap Dry - White,RunCap Dry,Moisture-wicking running cap.,White,0,U,10.8,20.6
225,31,BEAN-R0,Beanie Warm - Red,Beanie Warm,Thermal fleece beanie for winter.,Red,0,W,9.03,16.59
226,31,BEAN-P0,Beanie Warm - Pink,Beanie Warm,Thermal fleece beanie for winter.,Pink,0,U,7.69,16.51
227,31,BEAN-W0,Beanie Warm - White,Beanie Warm,Thermal fleece beanie for winter.,White,0,U,9.19,16.87
228,31,TRUC-G0,TruckerCap - Green,TruckerCap,Classic mesh trucker cap.,Green,0,M,6.55,14.25
229,31,TRUC-N0,TruckerCap - Navy,TruckerCap,Classic mesh trucker cap.,Navy,0,U,7.09,15.53
230,31,TRUC-B0,TruckerCap - Blue,TruckerCap,Classic mesh trucker cap.,Blue,0,U,7.75,15.25
231,32,SPOR-R0,SportVision Pro - Red,SportVision Pro,Polarized sport sunglasses - wraparound.,Red,0,U,24.19,44.92
232,32,SPOR-B0,SportVision Pro - Black,SportVision Pro,Polarized sport sunglasses - wraparound.,Black,0,M,21.82,45.49
233,32,SPOR-O0,SportVision Pro - Orange,SportVision Pro,Polarized sport sunglasses - wraparound.,Orange,0,W,25.24,45.95
234,32,TRAI-B0-2,TrailEye - Black,TrailEye,Photochromic trail sunglasses.,Black,0,W,29.48,60.47
235,32,TRAI-G0-1,TrailEye - Green,TrailEye,Photochromic trail sunglasses.,Green,0,W,33.09,61.23
236,33,HYDR-P0,HydroFlask 750ml - Purple,HydroFlask 750ml,Insulated stainless steel bottle - 750ml.,Purple,0,0,15.26,28.9
237,33,HYDR-B0,HydroFlask 750ml - Black,HydroFlask 750ml,Insulated stainless steel bottle - 750ml.,Black,0,0,13.4,29.57
238,33,HYDR-G0,HydroFlask 750ml - Green,HydroFlask 750ml,Insulated stainless steel bottle - 750ml.,Green,0,0,15.73,31.35
239,33,HYDR-T0,HydroFlask 750ml - Teal,HydroFlask 750ml,Insulated stainless steel bottle - 750ml.,Teal,0,0,15.02,28.94
240,33,SQUE-Y0,SqueezeBottle 500ml - Yellow,SqueezeBottle 500ml,Soft squeeze sports bottle - 500ml.,Yellow,0,0,4.71,9.5
241,33,SQUE-G0,SqueezeBottle 500ml - Green,SqueezeBottle 500ml,Soft squeeze sports bottle - 500ml.,Green,0,0,5.12,10.42
242,33,SQUE-N0,SqueezeBottle 500ml - Navy,SqueezeBottle 500ml,Soft squeeze sports bottle - 500ml.,Navy,0,0,4.77,10.25
243,33,SQUE-T0,SqueezeBottle 500ml - Teal,SqueezeBottle 500ml,Soft squeeze sports bottle - 500ml.,Teal,0,0,5.14,9.51
244,33,SHAK-N0,ShakerPro 600ml - Navy,ShakerPro 600ml,Protein shaker bottle with mixer ball.,Navy,0,0,5.96,12.77
245,33,SHAK-P0,ShakerPro 600ml - Pink,ShakerPro 600ml,Protein shaker bottle with mixer ball.,Pink,0,0,6.35,12.65
246,33,SHAK-O0,ShakerPro 600ml - Orange,ShakerPro 600ml,Protein shaker bottle with mixer ball.,Orange,0,0,7.14,13.01
247,34,PULS-N0,PulseBand - Navy,PulseBand,Basic fitness tracker with heart rate.,Navy,0,0,31.51,57.92
248,34,PULS-B0,PulseBand - Blue,PulseBand,Basic fitness tracker with heart rate.,Blue,0,0,27.79,60.6
249,34,PULS-T0,PulseBand - Teal,PulseBand,Basic fitness tracker with heart rate.,Teal,0,0,27.71,58.94
250,34,PROW-N0,ProWatch GPS - Navy,ProWatch GPS,GPS sport watch with multi-sport modes.,Navy,0,0,125.66,251.27
251,34,PROW-G0,ProWatch GPS - Grey,ProWatch GPS,GPS sport watch with multi-sport modes.,Grey,0,0,134.39,255.36
252,34,PROW-G0-1,ProWatch GPS - Green,ProWatch GPS,GPS sport watch with multi-sport modes.,Green,0,0,133.94,260.87
253,35,LIFT-YM,LiftGrip Gloves - Yellow - M,LiftGrip Gloves,Padded weightlifting gloves.,Yellow,M,W,11.5,23.42
254,35,LIFT-GS,LiftGrip Gloves - Grey - S,LiftGrip Gloves,Padded weightlifting gloves.,Grey,S,M,9.98,21.99
255,35,LIFT-GS-1,LiftGrip Gloves - Grey - S,LiftGrip Gloves,Padded weightlifting gloves.,Grey,S,U,12.7,23.45
256,35,WINT-NS,WinterRun Gloves - Navy - S,WinterRun Gloves,Touchscreen winter running gloves.,Navy,S,M,15.71,30.15
257,35,WINT-NS-1,WinterRun Gloves - Navy - S,WinterRun Gloves,Touchscreen winter running gloves.,Navy,S,W,16.88,30.91
258,35,WINT-NM,WinterRun Gloves - Navy - M,WinterRun Gloves,Touchscreen winter running gloves.,Navy,M,U,14.71,31.29
259,35,CYCL-PM,CycleGel Gloves - Pink - M,CycleGel Gloves,Gel-padded cycling gloves.,Pink,M,M,15.36,33.34
260,35,CYCL-PS,CycleGel Gloves - Pink - S,CycleGel Gloves,Gel-padded cycling gloves.,Pink,S,W,18.14,35.31
261,36,GYMD-B0,GymDuffel 40L - Blue,GymDuffel 40L,40-liter gym duffel bag.,Blue,0,0,19.86,43.2
262,36,GYMD-W0,GymDuffel 40L - White,GymDuffel 40L,40-liter gym duffel bag.,White,0,0,21.09,43.89
263,36,GYMD-O0,GymDuffel 40L - Orange,GymDuffel 40L,40-liter gym duffel bag.,Orange,0,0,22.3,45.55
264,36,DRAW-W0,DrawstringPack - White,DrawstringPack,Lightweight drawstring gym bag.,White,0,0,6.27,13.2
265,36,DRAW-G0,DrawstringPack - Grey,DrawstringPack,Lightweight drawstring gym bag.,Grey,0,0,6.85,13.07
266,36,DRAW-P0,DrawstringPack - Purple,DrawstringPack,Lightweight drawstring gym bag.,Purple,0,0,5.82,12.41
267,36,DRAW-N0,DrawstringPack - Navy,DrawstringPack,Lightweight drawstring gym bag.,Navy,0,0,6.46,12.94
268,36,TRAV-R0-1,TravelRoller 70L - Red,TravelRoller 70L,70-liter rolling travel bag.,Red,0,0,47.37,103.99
269,36,TRAV-B0-1,TravelRoller 70L - Blue,TravelRoller 70L,70-liter rolling travel bag.,Blue,0,0,53.55,103.79
270,37,SWEA-O0,SweatBand Set - Orange,SweatBand Set,Headband + 2 wristbands set.,Orange,0,0,4.82,10.33
271,37,SWEA-T0,SweatBand Set - Teal,SweatBand Set,Headband + 2 wristbands set.,Teal,0,0,4.94,9.57
272,37,SWEA-Y0,SweatBand Set - Yellow,SweatBand Set,Headband + 2 wristbands set.,Yellow,0,0,4.63,9.58
273,37,SWEA-G0,SweatBand Set - Green,SweatBand Set,Headband + 2 wristbands set.,Green,0,0,5.52,10.14
274,37,WIDE-G0,WideBand Pro - Green,WideBand Pro,Wide moisture-wicking headband.,Green,0,0,3.98,7.82
275,37,WIDE-P0,WideBand Pro - Purple,WideBand Pro,Wide moisture-wicking headband.,Purple,0,0,3.63,7.6
276,37,WIDE-G0-1,WideBand Pro - Grey,WideBand Pro,Wide moisture-wicking headband.,Grey,0,0,3.87,7.89
